  The type of the variability: E           
BY    Oct |000037.8-802348. |E         | 15.6    |  16.6      |p |
V0693 Cas |024750.0+624231.:|E         | 14.9    |  16.2      |B |
V0498 Cas |025034.5+601923. |E         | 15.8    |< 17.0      |R |
TZ    Hyi |025135.3-673417. |E         | 13.2    |  13.9      |p |
V0501 Cas |025246.5+631611. |E         | 15.1    |  15.9      |R |
V0405 Per |025448.6+325207. |E         | 12.2    |  13.3      |p |
NSV 01000 |025619.0-743104. |E         | 13.5    |  14.0      |p |
RT    For |025620.0-250707. |E         | 12.7    |  13.3      |p |
NSV 01031 |030030.8-770740. |E         | 13.9    |  14.7      |p |
NSV 01033 |030311.8-694823. |E         | 14.5    |  15.       |p |
V0507 Cas |030411.1+603334. |E         | 15.4    |< 17.0      |R |
RZ    Hor |030524.3-664103. |E         | 11.2    |  13.5      |p |
BE    Per |031348.9+461016. |E         | 14.5    |  15.3      |p |
V0514 Per |031938.9+500653. |E         | 11.4    |(  0.32    )|V |
NSV 01143 |032230.7-781821. |E         | 13.5    |  14.       |p |
NSV 01141 |032329.0-743558. |E         | 15.5    |  16.       |p |
V0464 Per |032848.8+381337. |E         | 15.3    |  16.3      |p |
FW    Eri |033015.6-402203. |E         | 11.87   |  12.21     |Hp|
NSV 01198 |033228.2-704918. |E         | 14.5    |  15.       |p |
V1125 Tau |033858.8+004748. |E         |  8.77   |   9.03     |Hp|
NSV 01324 |034615.7-612713. |E         | 14.2    |  14.8      |p |
MT    Per |040159.4+512207. |E         | 14.5    |  15.       |p |
MV    Per |040355.9+442818. |E         | 12.     |  12.5      |p |
MW    Per |040557.7+500529. |E         | 15.5    |  16.       |p |
NSV 01490 |040657.5-743901. |E         | 15.     |  15.5      |p |
NSV 01508 |041155.0-142028. |E         | 12.7    |  13.4      |p |
ZZ    Eri |041301.1-104454. |E         | 13.9    |  15.0      |p |
AA    Eri |041341.9-113336. |E         | 12.8    |  13.3      |p |
NT    Per |041930.7+521912. |E         | 17.     |  18.       |p |
V0343 Per |042305.7+501449. |E         | 16.     |  17.       |p |
AX    Eri |042315.5-122151. |E         | 14.2    |  15.0      |p |
IQ    Cam |042606.9+542818. |E         | 14.48   |  14.63     |Rc|sdB
AN    Eri |043156.5-172020. |E         | 14.4    |  15.4      |p |
V0390 Per |044126.3+494203. |E         | 15.5    |  16.       |p |
CC    Tau |044254.0+015914. |E         | 13.5    |  13.9      |p |
OV    Per |044340.0+501420. |E         | 15.5    |  16.5      |p |
V1081 Tau |044354.0+225640. |E         |  6.9    |   7.3      |V |
NSV 01728 |044857.4+043427. |E         | 14.5    |  16.2      |p |
NSV 01739 |045048.5+161238. |E         |  7.29   |            |V |F8
GL    Aur |045251.4+464048. |E         | 13.5    |  15.0      |p |
NSV 01765 |045441.3-072758. |E         | 13.2    |  14.1      |p |
Z     Lep |051010.0-145217. |E         | 11.     |  12.5      |p |F0
IO    Aur |051551.4+383437. |E         | 12.9    |  13.4      |p |
IP    Aur |051730.2+365948. |E         | 14.6    |< 16.0      |p |
IR    Aur |052152.1+391411. |E         | 16.5    |< 17.       |p |
V1642 Ori |052920.6+004128. |E         | 12.30   |  13.07     |V |
V2559 Ori |053538.5-005112. |E         | 15.02   |(  1.10    )|Rc|
LL    Aur |053608.5+472533. |E         | 15.1    |  15.8      |p |
NSV 02420 |053728.3+443622. |E         | 12.5    |  13.6      |p |
V0959 Ori |054200.7+114758. |E         | 16.     |  16.5      |p |
LO    Gem |060411.7+252000. |E         | 11.5    |  12.0      |p |
V1626 Ori |060520.1+100426. |E         | 11.57   |  12.07     |* |
TT    Lep |060648.9-213738. |E         | 12.1    |  12.9      |p |
V1025 Ori |060739.1+151649. |E         | 13.6    |  14.3      |p |
V0392 Mon |060757.2-042424. |E         | 12.0    |  13.5      |p |
V0393 Gem |060903.3+242315. |E         | 16.90   |  17.14     |V |
NSV 16793 |060926.7-150144. |E         |  9.48   |            |V |(A)
V0857 Aur |061334.4+491405. |E         | 11.12   |  11.36     |V |
NSV 02892 |061709.9+183522. |E         | 15.     |  15.5      |p |
V0669 Ori |061737.6+192246. |E         | 15.     |  16.       |p |
LT    Gem |061825.6+233417. |E         |  9.35   |   9.51     |B |B1V
TW    Pup |062201.3-475357. |E         | 11.8    |  12.8      |p |
V1635 Ori |062454.0+101405. |E         | 11.72   |  12.11     |* |
NSV 02968 |062653.9-101535. |E         | 13.6    |  14.7      |p |ea
NSV 02972 |062835.3+163345. |E         | 15.     |  15.5      |p |
V0480 Mon |063053.0+094023. |E         | 14.2    |  15.6      |p |
V0578 Mon |063200.6+045241. |E         |  8.54   |   8.57     |V |B0V+B0V
V0683 Mon |063211.3-071823. |E         |  8.21   |(  0.40    )|V |
HZ    Gem |063526.9+251308. |E         | 16.     |  17.       |p |
CU    Aur |063600.0+470743.:|E         | 15.6    |  16.7      |p |
LX    Gem |064005.0+150640. |E         | 15.4    |  16.0      |p |
CW    Aur |064158.4+455258. |E         | 15.5    |  16.3      |p |
NSV 03140 |064207.6+443827. |E         | 14.6    |  15.5      |p |
UW    Gem |064214.8+131904. |E         | 15.5    |  17.5      |p |
IO    Gem |064218.9+202305. |E         | 16.2    |< 17.       |p |
LY    Gem |064300.2+175846. |E         | 14.7    |  15.3      |p |
KR    Gem |064405.8+191745. |E         | 16.3    |  16.8      |p |
LZ    Gem |064406.0+143223. |E         | 15.4    |  17.5  :   |p |
V0643 Mon |064558.7+081542. |E         | 15.8    |  18.0      |p |
NSV 03258 |065313.5-072054. |E         | 13.2    |  13.5      |p |
NSV 03311 |065836.1+183542. |E         | 12.8    |  13.5      |p |
NSV 03226 |065925.6+832830. |E         | 10.2    |  10.8      |p |G2
NSV 03465 |071313.5-131834. |E         | 15.5    |  16.       |p |
V0536 Mon |071355.6-025430. |E         |  9.1    |  10.1      |p |B4V
NSV 03473 |071418.8-160510. |E         | 10.2    |  10.7      |p |M0
NSV 03477 |071433.9-142557. |E         | 13.6    |  14.1      |p |
V0634 Mon |071710.1-014419. |E         | 12.0    |  12.4      |p |
HI    Gem |071814.4+303809. |E         | 12.0    |  13.1      |p |G-K
MP    Pup |073108.5-131426. |E         | 10.     |  10.5      |p |
PR    Mon |073821.5-100446. |E         | 11.0    |  11.7      |p |A
CF    Lyn |074432.3+364144. |E         |  9.61   |   9.93     |Hp|
NSV 03955 |081404.4-274201. |E         | 14.5    |  15.       |p |
V0431 Pup |081717.6-423118. |E         |  7.21   |   7.32     |Hp|
NSV 04071 |082339.9-692946. |E         | 14.5    |  15.       |p |
DE    Lyn |082529.6+574329. |E         | 12.9    |  13.9      |p |
NSV 04140 |083512.7+183210. |E         | 11.4    |  12.0      |p |
NX    Vel |083909.5-402509. |E         |  7.25   |   7.38     |Hp|
V0466 Vel |084331.2-525502. |E         | 15.1    |  15.6      |J |
KX    Vel |085033.5-463145. |E         |  4.87   |(  0.08  b )|B |
NSV 04281 |085151.4+140131. |E         | 12.7    |  14.1      |p |
NSV 04304 |085528.8+164348. |E         | 12.4    |  13.1      |p |
NSV 04355 |090016.4-683348. |E         | 15.5    |  16.       |p |
NSV 04360 |090402.1+170616. |E         | 11.2    |  12.0      |p |K0
WW    Pyx |090432.3-322251. |E         | 12.4    |  13.2      |V |
NSV 04396 |090940.3+132956. |E         | 11.8    |  13.3      |p |
NSV 04450 |091838.5-262303. |E         | 14.4    |  15.0      |p |
SS    Pyx |092237.6-252706. |E         | 13.0    |  13.8      |p |
NSV 04509 |093117.4+272314. |E         |  6.58   |(  0.03   ) |V |Am(A2/F2/A3)
NSV 04588 |094208.6-292724. |E         | 14.5    |  15.1      |p |
IP    Vel |094327.6-511341. |E         |  6.03   |(  0.19    )|B |B6V
NSV 04596 |094347.0-205551. |E         | 14.1    |  14.8      |p |
NSV 04627 |094602.7-713352. |E         | 14.5    |  15.       |p |
NSV 04631 |094653.7-664938. |E         | 15.     |  15.5      |p |
KN    Vel |094743.9-495636. |E         |  7.1    |(  0.09    )|V |
NSV 04643 |094954.5-283133. |E         | 14.2    |  15.5      |p |
BC    Hya |094956.0-224939. |E         | 11.2    |  12.0      |p |
V0398 Car |102631.4-583826. |E         |  9.73   |   9.78     |Hp|WN4+O4-6
PX    Hya |103330.7-201052. |E         |  8.47   |   8.57     |Hp|
DR    Cha |104151.5-794700. |E         |  5.94   |   5.99     |Hp|
QR    Hya |105631.1-343350. |E         |  8.51   |   8.69     |Hp|
NSV 05036 |105823.5-341639. |E         | 11.8    |  12.3      |p |
RR    LMi |110015.3+291915. |E         | 13.5    |  14.5      |p |
AV    Crt |111014.2-200707. |E         |  9.35   |   9.47     |V |K4V+M0V
NSV 05183 |112359.0+503910. |E         | 12.6    |  13.6      |p |
KR    Mus |113325.4-701141. |E         |  6.68   |   6.87     |Hp|
DF    Cha |120732.5-792433. |E         | 14.3    |  15.2      |p |
GM    Mus |121451.3-743332. |E         | 13.9    |  15.0      |p |
NSV 05514 |121547.2-361405. |E         | 13.7    |  14.7      |p |
CM    Com |121925.2+212059. |E         | 13.0    |  13.6      |p |
NSV 05600 |122448.6-304318. |E         | 14.5    |  14.8      |p |
NSV 05664 |123037.8-313936. |E         | 14.6    |  15.1      |p |
NSV 05674 |123119.2-333458. |E         | 14.8    |  15.2      |p |
NSV 05698 |123308.5+424648. |E         | 12.0    |< 13.       |p |G2
NSV 05792 |123752.8-344223. |E         | 13.5    |  14.2      |p |
NSV 05841 |124013.8-272456. |E         | 15.1    |  15.5      |p |
NSV 05881 |124254.1-325127. |E         | 14.7    |  15.2      |p |
NSV 05981 |125011.6+001729. |E         | 13.2    |  13.7      |p |dG8
NSV 05997 |125129.0+265546. |E         | 11.0    |  11.8      |p |G3:
NSV 05993 |125130.1-342419. |E         | 14.8    |  15.3      |p |
NSV 06007 |125254.0-332857. |E         | 14.3    |  15.0      |p |
NSV 06009 |125301.6-341943. |E         | 14.3    |  14.7      |p |
BE    Cha |130459.0-765650. |E         | 13.8    |  14.7      |p |
BG    Cha |130638.0-812418. |E         | 15.4    |  16.3      |p |
NSV 06131 |131156.4-340549.*|E         | 14.2    |  14.7      |p |
NO    Cen |131457.3-591021. |E         | 14.0    |  15.1      |p |
eta   Mus |131514.9-675341. |E         |  4.76   |   4.81     |V |B8V
WY    Cen |131615.3-630228. |E         | 14.0    |  14.7      |p |
NR    Cen |131927.2-600420. |E         | 14.2    |  14.7      |p |
NT    Cen |132216.0-614611. |E         | 14.4    |  15.2      |p |
DU    Cen |132340.0-552939. |E         | 15.0    |  16.1      |p |
BQ    Cha |132453.9-792359. |E         | 15.4    |  16.5      |p |
DE    CVn |132653.2+453246. |E         | 12.85   |  13.06     |V |
NSV 06231 |132735.9-791922. |E         | 16.5    |  17.       |p |
EI    Cen |132940.6-550449. |E         | 14.9    |  16.2      |p |
V0611 Cen |133426.1-605503. |E         | 14.4    |  15.3      |p |
V0613 Cen |134116.9-622323. |E         | 14.9    |  15.6      |p |
V0407 Cen |134312.2-631642. |E         | 13.9    |  14.5      |p |
FW    Cen |134523.5-562154. |E         | 12.4    |  12.9      |p |
V0408 Cen |134539.0-621240. |E         | 14.7    |  15.3      |p |
GP    Cen |134732.8-505752. |E         | 14.3    |  15.2      |CV|
RR    Cir |135034.6-665752. |E         | 12.0    |  13.0      |p |
PS    Cen |135422.4-585339. |E         | 14.8    |  16.0      |p |
NSV 19992 |135543.2-592240. |E         | 12.29   |            |V |B9V
PU    Cen |135553.8-595606. |E         | 13.1    |  14.3      |p |
II    Cen |135741.9-555252. |E         | 15.5    |  16.4      |p |
NSV 06520 |135756.4+793459. |E         | 10.2    |  11.0      |p |F8
IS    Cen |140151.7-552647. |E         | 15.3    |  16.0      |p |
V0414 Cen |140835.2-620239. |E         | 15.2    |  16.0      |p |
V0632 Cen |141339.6-592558. |E         | 14.9    |  15.5      |p |
V0634 Cen |141357.8-582144. |E         | 14.8    |< 16.   :   |p |
NSV 06601 |141546.8-301041. |E         | 14.     |  14.5      |p |
UX    Cir |141559.3-673909. |E         | 12.2    |  13.3      |p |
V0338 Cen |142105.4-632859. |E         | 14.7    |  15.5      |p |
XY    Cir |143103.9-663854. |E         | 12.1    |  13.0      |p |
UU    Aps |145040.0-724319. |E         | 14.5    |  16.0      |p |
IL    Lib |150856.8-114726. |E         |  7.64   |   7.76     |Hp|
YZ    Lib |150935.7-295212. |E         | 12.7    |  13.3      |p |
BN    Cir |151750.4-594342. |E         |  9.2    |   9.6      |p |B9III/IV
V0371 Aps |151943.4-773840. |E         | 14.1  : |  14.5  :   |V |
HP    TrA |152606.5-632538. |E         |  8.2    |   8.6      |p |B5III
NSV 07121 |153158.1-200751. |E         | 14.3    |  14.9      |p |
GN    Lib |153534.2-154421. |E         | 13.7    |  14.4      |p |
FL    Aps |154248.5-710709. |E         | 15.     |  16.       |p |
PS    Ser |154357.9+222023. |E         |  8.19   |   8.37     |Hp|
CW    Lib |154429.4-150321. |E         | 14.0    |< 15.5      |p |
NSV 07224 |154448.4-191738. |E         | 14.4    |  15.0      |p |
NSV 07241 |154625.2-163457. |E         | 15.4    |  16.0      |p |
NSV 07262 |154834.6-143457. |E         | 16.0    |< 17.0      |p |
NSV 07278 |154950.3-120918. |E         | 14.3    |  15.1      |p |
GV    Lib |155440.4-191526. |E         | 13.9    |  15.3      |p |
EY    Lib |155553.3-140725. |E         | 16.8    |  18.5      |p |
HH    Aps |155909.4-744736. |E         | 14.3    |  14.8      |p |
FU    Lib |160100.9-092636. |E         | 12.9    |  13.9      |p |
XY    TrA |160252.4-641357. |E         | 15.3    |  16.0      |p |
BG    Nor |160259.8-593253. |E         | 15.5    |  16.3      |p |
V1046 Sco |160639.0-262502. |E         |  9.34   |   9.70     |Hp|
V0784 Sco |160848.9-143845. |E         | 13.1    |  13.8      |p |
V0681 Her |161139.1+250100. |E         | 13.6    |  14.1      |p |
LX    Nor |161304.2-595351. |E         | 14.0    |  14.5      |p |
LY    Nor |161332.3-575608. |E         | 13.5    |  14.0      |p |
AR    TrA |161357.8-622751. |E         | 15.0    |  15.5      |p |
HR    Aps |161450.7-735030. |E         | 13.2    |  15.6      |p |
CV    Nor |161522.2-573154. |E         | 13.6    |  14.3      |p |
V0813 Sco |161609.6-121606. |E         | 16.2    |  17.6      |p |
AZ    TrA |161627.5-624225. |E         | 13.0    |  13.4      |p |
V0816 Sco |161639.2-121942. |E         | 17.0    |  18.1      |p |
HS    TrA |161711.6-614250. |E         | 16.0    |< 17.0      |p |
V0689 Her |161713.3+163854. |E         | 15.6    |  16.0      |p |
V0691 Her |162017.1+174546. |E         | 13.3    |  13.7      |p |
PU    Nor |162051.5-584715. |E         | 13.5    |  14.0      |p |
PX    Nor |162120.9-442345. |E         | 12.4    |  12.9      |p |
HT    TrA |162139.9-605144. |E         | 14.5    |  15.0      |p |
KO    Nor |162559.5-565504. |E         | 12.0    |  12.5      |p |
CL    TrA |162710.8-625225. |E         | 14.9    |  15.9      |p |
NSV 07729 |162840.4-594554. |E         | 16.3    |< 16.8      |p |
IK    TrA |163003.6-620811. |E         | 15.3    |  15.8      |p |
NZ    Nor |163030.7-581450. |E         | 15.0    |  15.5      |p |
V0840 Her |163250.3+065443. |E         | 11.2    |  12.2      |V |
NSV 07813 |163301.2-064500. |E         | 15.3    |  15.9      |p |
LM    Nor |163308.3-552800. |E         | 14.8    |  15.3      |p |
LU    Nor |163428.5-553707. |E         | 11.9    |  12.4      |p |
V0623 Ara |163711.2-572749. |E         | 14.0    |  14.5      |p |
V0346 Ara |163816.9-573819. |E         | 15.0    |< 16.0      |p |
IQ    Aps |163914.8-774453. |E         | 14.0    |  14.8      |p |
V0350 Ara |163916.2-580739. |E         | 12.0    |  12.5      |p |
V0881 Sco |164208.1-334601. |E         |  8.8    |(  0.4     )|p |A0
DX    TrA |164221.0-620359. |E         | 12.9    |  13.2      |p |
V0678 Ara |164224.2-560236. |E         | 14.8    |  15.5      |p |
V0679 Ara |164253.3-595348. |E         | 15.4    |  15.8      |p |
V0364 Ara |164313.7-563436. |E         | 13.0    |  14.2      |p |
V0681 Ara |164325.3-605114. |E         | 14.8    |  15.5      |p |
V0683 Ara |164344.2-554044. |E         | 14.6    |< 16.3      |p |
CN    Aps |164456.3-760334. |E         | 14.7    |  15.5      |p |
V0375 Ara |164624.3-594539. |E         | 13.2    |  13.5      |p |
NSV 07972 |164853.7-394857. |E         | 13.3    |  13.8      |p |
V0889 Sco |165137.2-445746. |E         | 11.35   |  12.37     |V |
V1208 Sco |165421.3-415142. |E         |  9.72   |(  0.15    )|V |B0.5V
V0747 Her |165451.3+432036. |E         | 14.4    |  15.0      |p |
V1125 Oph |165506.0+113302. |E         | 11.     |  11.5      |p |
NSV 08044 |165534.9-403601. |E         | 12.8    |  13.6      |p |
NSV 08064 |165715.7-425149. |E         | 12.7    |  13.0      |p |
V0806 Ara |165718.1-615140. |E         | 15.0    |  15.7      |p |
NSV 08069 |165822.6-392350. |E         | 11.8    |  12.2      |p |
MX    Oph |165826.3-292112. |E         | 13.7    |  14.7      |p |
V0836 Ara |165954.5-461902. |E         |  7.47   |   7.65     |V |B1II
OR    Oph |170000.0-300807. |E         | 13.4    |  14.2      |p |
V1226 Oph |170133.5-211236. |E         | 14.8    |  15.4      |p |
NSV 08141 |170416.1-392453. |E         | 13.8    |  14.2      |p |
V1378 Oph |170642.5-193606. |E         | 17.3    |  19.0      |p |
V1381 Oph |170642.6-165211. |E         | 14.0    |  15.5      |p |
V0610 Sco |170647.8-395235. |E         | 12.7    |  14.1      |p |
V0781 Ara |170713.9-565614. |E         | 14.5    |  15.0      |p |
V1399 Oph |170722.7-221554. |E         | 17.1    |  18.2      |p |
V1448 Oph |170846.5-195456. |E         | 17.8    |  19.2      |p |
V1465 Oph |170919.8-210732. |E         | 16.7    |  18.5      |p |
V0462 Sco |171014.3-332501. |E         | 11.7    |  12.5      |p |
V0463 Sco |171109.5-324650. |E         | 12.6    |  13.4      |p |
V1536 Oph |171110.9-171037. |E         | 17.8    |  18.4      |p |
V1567 Oph |171154.0-163442. |E         | 18.3    |  20.0      |p |
NSV 08268 |171213.0-374402. |E         | 15.2    |  16.0      |p |
V1581 Oph |171213.3-172104. |E         | 17.6    |  18.3      |p |
V1590 Oph |171222.3-162434. |E         | 16.0    |  18.9      |p |
V1589 Oph |171223.0-171952. |E         | 16.6    |  17.4      |p |
V1596 Oph |171244.8-214814. |E         | 17.9    |  19.1      |p |
CU    Ara |171259.1-602005. |E         | 14.4    |  16.0      |p |
V1648 Oph |171356.7-205506. |E         | 18.6    |  20.4      |p |
NSV 08342 |171428.8-430225. |E         | 12.4    |  12.7      |p |
DM    Aps |171431.6-733027. |E         | 12.7    |  13.4      |p |
V0505 Ara |171458.0-560916. |E         | 14.3    |  15.4      |p |
NSV 08389 |171530.1-394314. |E         | 14.5    |  15.1      |p |
V0468 Sco |171546.5-365201. |E         | 12.1    |  12.5      |p |
V1761 Oph |171703.4-220623. |E         | 18.5    |  19.9      |p |
V1774 Oph |171716.3-173044. |E         | 13.8    |  14.6      |p |
MT    Ara |171738.1-603113. |E         | 12.8    |  14.3      |p |
V1809 Oph |171802.6-172144. |E         | 17.7    |  19.3      |p |
V0629 Sco |171820.3-390342. |E         | 11.9    |  12.4      |p |
V1826 Oph |171834.2-173432. |E         | 17.4    |  18.8      |p |
V0513 Ara |171834.4-603925. |E         | 15.5    |  16.3      |p |
V0475 Sco |171856.1-322453. |E         | 12.2    |  13.2      |p |
V0368 Dra |171906.2+574121. |E         | 19.64   |(  0.27    )|V |
V0630 Sco |171921.9-384849. |E         | 14.0    |  15.0      |p |
V0516 Ara |171941.6-611226. |E         | 14.8    |  15.2      |p |
V1880 Oph |171956.1-180602. |E         | 15.4    |  17.1      |p |
V1890 Oph |172014.5-180033. |E         | 16.8    |  18.4      |p |
V1908 Oph |172036.0-165826. |E         | 15.5    |  16.3      |p |
V1914 Oph |172046.1-162100. |E         | 16.3    |  17.3      |p |
V1927 Oph |172113.6-182513. |E         | 13.8    |  15.0      |p |
V1930 Oph |172114.1-162750. |E         | 14.3    |  15.3      |p |
V0746 Ara |172131.8-571716. |E         | 15.2    |  16.0      |p |
V1975 Oph |172222.2-171207. |E         | 17.6    |  19.4      |p |
V0476 Sco |172226.3-322655. |E         | 12.7    |  13.4      |p |
LT    Ara |172230.1-470403. |E         | 10.8    |  15.4      |p |A
V1978 Oph |172230.1-173431. |E         | 14.7    |  15.5      |p |
V1996 Oph |172259.0-194903. |E         | 14.7    |  15.4      |p |
LV    Ara |172318.8-465115. |E         | 13.8    |  16.0      |p |
V0748 Ara |172341.9-600129. |E         | 14.5    |  15.0      |p |
V0525 Ara |172511.0-594604. |E         | 15.2    |  16.3      |p |
IU    Ara |172531.6-545149. |E         | 13.5    |  14.0      |p |
NQ    Ara |172731.4-590758. |E         | 15.1    |  16.4      |p |
ER    Ara |172752.0-620354. |E         | 13.4    |  14.5      |p |
EX    Ara |172935.2-570501. |E         | 14.4    |  15.8      |p |
V0904 Sco |172956.7-410324. |E         | 10.     |(  0.4     )|p |A0
IW    Ara |173301.4-583431. |E         | 13.9    |  14.5      |p |
IX    Ara |173411.5-575459. |E         | 13.7    |  14.3      |p |
NSV 09146 |173451.1-593447. |E         | 16.0    |  17.4      |p |
IY    Ara |173510.4-572059. |E         | 15.0    |  16.0      |p |
V0967 Sco |173541.1-443547. |E         | 16.8    |  17.3      |B |
V0501 Her |173543.5+303835. |E         | 10.5    |  11.0      |p |
V0519 Sco |173646.9-433004. |E         | 13.8    |  14.6      |p |
KL    Ara |173949.6-573139. |E         | 14.0    |  14.8      |p |
V0493 Sco |173950.6-313936. |E         | 13.0    |  13.4      |p |
V1148 Ara |174046.3-534116. |E         | 19.18   |  19.35     |V |
NSV 09468 |174047.7-275915. |E         | 14.6    |  15.4      |p |
V0387 Sco |174101.6-360106. |E         | 12.1    |  12.5      |p |
HI    Ara |174115.5-540602. |E         | 14.3    |  16.5      |p |
NSV 09522 |174152.6-301751. |E         | 12.3    |  12.8      |p |A0
V2384 Oph |174230.4-284456. |E         |  9.10   |   9.24     |Hp|
AI    Pav |174232.0-573836. |E         | 13.1    |  13.9      |p |
OP    Pav |174234.5-581646. |E         | 16.2    |  17.0      |p |
NSV 09509 |174242.2-605136. |E         | 15.8    |  16.7      |p |
NSV 09623 |174426.8+102243. |E         | 14.2    |  14.8      |p |
NSV 09634 |174457.4+091518. |E         | 14.1    |  14.8      |p |
AK    Pav |174604.0-582117. |E         | 13.0    |  13.5      |p |
V0538 Sco |174632.0-445541. |E         | 14.1    |  15.0      |p |
NSV 09658 |174645.2-282949. |E         | 14.1    |  14.6      |p |
ES    Aps |174736.4-800513. |E         | 13.9    |  14.4      |p |
NSV 09698 |174833.2-242904. |E         | 13.5    |  13.8      |p |
AL    Pav |174836.0-593418. |E         | 13.8    |  14.5      |p |
V0451 Sco |174851.6-352230. |E         | 12.0    |  12.4      |p |
NSV 09709 |174856.3-254313. |E         | 12.7    |  13.1      |p |
NSV 09723 |174952.6-261552. |E         | 15.7    |  16.5      |p |
NSV 09729 |175019.7-390120. |E         | 12.2    |  12.8      |p |
NSV 09775 |175218.1-282653. |E         | 12.3 :  |  13.0   :  |p |
V0452 Sco |175312.7-371835. |E         | 14.2    |  15.0      |p |
HS    Ara |175503.6-562704. |E         | 14.0    |  15.4      |p |
AM    Pav |175740.7-582121. |E         | 15.0    |  15.7      |p |
NSV 09904 |175823.3-282437. |E         | 12.7    |  13.7      |p |
NT    Pav |175928.9-573550. |E         | 15.6    |  16.6      |p |
V0722 Sgr |180043.4-365727. |E         | 13.8    |  14.6      |p |
NSV 09971 |180122.5-354723. |E         | 14.5    |  15.2      |p |
NSV 09962 |180127.3-502458. |E         | 15.3    |  16.2      |p |
NSV 09968 |180221.0-610703. |E         | 12.8    |  13.5      |p |
V1350 Sgr |180230.2-301344. |E         | 18.0    |  18.3      |p |
V1357 Sgr |180235.2-295728. |E         | 18.7    |  19.6      |B |
AO    Pav |180239.0-571600. |E         | 11.6    |  12.4      |p |
V1420 Sgr |180319.4-300950. |E         | 17.4    |  17.7      |p |
V0628 Ara |180349.1-523548. |E         | 15.6    |< 16.2      |p |
AP    Pav |180400.7-625641. |E         | 11.7    |  12.1      |p |
V0577 Sgr |180400.9-355223. |E         | 15.1    |< 16.5      |p |
V0723 Sgr |180409.0-363736. |E         | 14.9    |  15.8      |p |
V1492 Sgr |180414.7-295220. |E         | 15.2    |  15.9      |p |
NSV 24203 |180417.0-295519. |E         | 18.3    |  18.6      |B |
V2563 Oph |180421.5+003624. |E         | 11.6    |  13.0      |* |
NSV 10089 |180428.4-454425. |E         | 15.5    |  16.       |p |
V1517 Sgr |180429.8-300250. |E         | 15.0    |  15.6      |p |
NSV 10108 |180435.5-400243. |E         | 13.0    |  13.9      |p |
AQ    Pav |180453.3-600204. |E         | 11.2    |  11.6      |p |
V2035 Oph |180454.9+025951. |E         | 15.5    |  16.5      |p |
NSV 10106 |180505.0-512743. |E         | 13.7    |  14.6      |p |
V0588 Sgr |180516.6-361146. |E         | 14.8    |< 16.5      |p |
NSV 10160 |180531.6-400424. |E         | 14.3    |  15.0      |p |
