  The type of the variability: RR          
TZ    Scl |000049.2-284901. |RR        | 14.6    |  15.6      |p |
AL    Psc |013025.7+295843. |RR        | 15.3    |  16.8      |p |
RW    Hyi |013112.3-782908. |RR        | 12.5    |  13.3      |p |
CF    Eri |013644.0-535448. |RR        | 15.     |  16.       |p |
CG    Eri |013658.5-551300. |RR        | 14.5    |  15.5      |p |
CH    Eri |013701.1-553257. |RR        | 15.5    |  16.       |p |
SS    Hyi |013817.1-753348. |RR        | 14.8    |  16.2      |p |
RZ    Scl |014157.8-261254. |RR        | 14.8    |  16.2      |p |
SS    Scl |014211.5-295921. |RR        | 13.9    |  14.5      |p |
SU    Hyi |014230.5-800033. |RR        | 12.5    |  13.8      |p |
ST    Scl |014236.4-300138. |RR        | 12.9    |  14.5      |p |B9
IQ    Cet |014305.3+010550. |RR(B)     | 16.7    |  17.3      |CV|
SV    Hyi |014435.2-774514. |RR        | 14.5    |  15.8      |p |
LN    Cet |014454.1-143643. |RR(B)     | 16.65   |  17.52     |CV|
ZZ    Phe |014523.7-461420. |RR        | 13.5    |  14.4      |p |
AB    Phe |014612.8-472111. |RR        | 15.0    |  15.5      |p |
SW    Hyi |014721.8-732101. |RR        | 13.8    |  15.5      |p |
DN    Ari |015216.8+244831. |RR(B)     | 18.2    |  18.8      |CV|
EW    Cep |015330.7+850345. |RR        | 17.     |  18.       |p |
DO    Ari |015342.6+155216. |RR(B)     | 14.64   |  15.19     |CV|
AC    Phe |015649.0-442106. |RR        | 14.0    |  15.0      |p |
FR    And |015900.4+361242. |RR        | 15.0    |  16.1      |p |
LQ    Cet |015903.1-042528. |RR(B)     | 17.02   |  17.62     |CV|
CK    Eri |020005.7-553437. |RR        | 14.     |  15.       |p |
IU    Cet |020314.9+011221. |RR(B)     | 16.4    |  17.1      |r'|
CL    Eri |020347.8-570705. |RR        | 14.5    |  15.       |p |
SX    Hyi |020739.5-774847. |RR        | 12.5    |  13.5      |p |
CM    Eri |020938.1-573700. |RR        | 14.5    |  15.5      |p |
DP    Ari |020950.4+122636. |RR(B)     | 16.72   |  17.41     |CV|
CN    Eri |020951.4-561415. |RR        | 14.     |  15.       |p |
DI    Tri |021024.1+301336. |RR(B)     | 17.45   |  18.20     |CV|
AM    Hyi |021106.4-581419. |RR        | 13.     |  14.       |p |
XX    Hyi |021300.0-755420.:|RR        | 15.2    |  16.0      |p |
DQ    Ari |021554.8+253440. |RR(B)     | 15.71   |  16.48     |CV|
NSV 00831 |022549.5-713052. |RR        | 14.8    |  15.7      |p |              SMC   V2395
TX    Hyi |022705.1-711614. |RR        | 14.9    |  15.8      |p |
NSV 00838 |022729.1-703424. |RR        | 14.8    |  15.7      |p |              SMC   V2397
TY    Hyi |023303.0-710158. |RR        | 13.8    |  15.2      |p |
KM    Cet |024227.1+011332. |RR(B)     | 14.67   |  15.22     |CV|
DT    Ari |024818.0+111241. |RR(B)     | 15.94   |  16.65     |CV|
Z     For |025009.9-261552. |RR        | 12.2    |  13.0      |p |
RV    Hor |025020.5-641541. |RR        | 12.9    |  14.5      |p |
BE    Hyi |025136.5-721017. |RR        | 13.2    |  13.8      |p |
RR    For |025343.7-265253. |RR        | 13.1    |  13.9      |p |
RW    Hor |025558.9-642733. |RR        | 14.9    |  15.9      |p |
RX    Hor |025733.5-594618. |RR        | 13.5    |  14.8      |p |
RY    Hor |025943.9-640517. |RR        | 14.4    |  16.0      |p |
AN    Hyi |030135.9-730532. |RR        | 14.5    |  15.5      |p |
AO    Hyi |030234.1-723623. |RR        | 15.     |  16.       |p |
V0428 Per |030235.9+411204. |RR        | 14.3    |  15.2      |p |
AZ    For |030527.6-305839. |RR(B)     | 12.43   |  13.42     |V |
SS    Hor |030850.5-571134. |RR        | 13.0    |  15.0      |p |
SU    Hor |031140.8-580356. |RR        | 13.0    |  15.0      |p |
SV    Hor |031242.9-652402. |RR        | 14.4    |  15.2      |p |
DV    Ari |031325.6+152147. |RR(B)     | 16.80   |  17.35     |CV|
KR    Cet |031333.1+004255. |RR(B)     | 18.0    |  18.6      |r'|
UZ    Eri |031345.8-141244. |RR        | 12.34   |  13.27     |V |
V     Ret |032310.8-611826. |RR        | 13.4    |  14.4      |p |
BC    Hyi |032327.7-720742. |RR        | 13.8    |  14.4      |p |
Y     Ret |032740.7-594445. |RR        | 14.7    |  15.8      |p |
Z     Ret |033126.8-605102. |RR        | 15.0    |  15.8      |p |
AQ    Hyi |033134.4-705938. |RR        | 15.5    |  16.5      |p |
NSV 01206 |033312.3-743033. |RR        | 15.     |  15.5      |p |
AR    Hyi |033513.6-723520. |RR        | 15.     |  15.5      |p |
NSV 01215 |033739.0-630451. |RR        | 14.4    |  15.0      |p |
UW    Hyi |034008.6-691705. |RR        | 13.8    |  15.2      |p |
BU    Hyi |034051.2-715516. |RR        | 16.96   |  17.57     |B |
BV    Hyi |034207.7-715133. |RR        | 19.63   |  20.29     |B |
NSV 01267 |034215.9-700043. |RR        | 15.1    |  15.9      |p |
Y     Men |034708.2-763910. |RR        | 14.3    |  15.7      |p |
AS    Hyi |034751.1-723430. |RR        | 15.     |  16.       |p |
AI    Tau |034819.8+202008. |RR        | 13.5    |  15.5      |p |
RZ    Men |034916.5-784027. |RR        | 15.     |  16.       |p |
MQ    Per |034948.5+460828. |RR        | 17.     |  18.       |p |
CV    Tau |035047.5+202808. |RR        | 13.6    |  14.6      |p |
AU    Hyi |035155.3-742835. |RR        | 15.     |  16.       |p |
AT    Hyi |035217.4-710222. |RR        | 14.     |  14.5      |p |
SS    Men |035338.4-762434. |RR        | 14.     |  15.       |p |
SS    Ret |035652.2-621749. |RR        | 13.8    |  15.0      |p |
VV    Hyi |035809.4-731121. |RR        | 14.0    |  15.4      |p |
ST    Men |040141.5-783939. |RR        | 13.     |  14.       |p |
WY    Eri |040221.5-133754. |RR        | 14.0    |  14.7      |p |
V0341 Per |040222.0+325430. |RR        | 16.     |  17.       |p |
AV    Hyi |040702.3-730410. |RR        | 16.     |  16.5      |p |
AW    Hyi |040752.5-710603. |RR        | 15.5    |  16.5      |p |
V0381 Per |041030.7+325618. |RR        | 15.5    |  16.5      |p |
YZ    Eri |041200.8-175527. |RR        | 15.4    |  16.1      |p |
SV    Men |041312.9-762638. |RR        | 15.5    |  16.       |p |
AX    Hyi |041345.6-730843. |RR        | 15.     |  16.       |p |
AY    Hyi |041531.5-700627. |RR        | 14.5    |  15.       |p |
AB    Eri |041540.7-182322. |RR        | 14.7    |  15.5      |p |
Z     Men |041551.6-744337. |RR        | 13.9    |  15.2      |p |
AZ    Hyi |041616.8-734212. |RR        | 16.     |  17.       |p |
NX    Eri |041649.6-295129. |RR(B)     | 14.15   |  15.0      |CV|
NSV 01547 |041748.1-163923. |RR        | 14.8    |  15.5      |p |
AE    Eri |041901.3-151443. |RR        | 14.5    |  15.2      |p |
NSV 01644 |043207.2-030640. |RR        | 14.8    |  15.6      |p |
AP    Eri |043237.6-163038. |RR        | 14.9    |  15.7      |p |
BN    Eri |043354.9-002532. |RR        | 13.1    |  14.5      |p |
SX    Men |043357.7-732552. |RR        | 16.     |  16.5      |p |
BO    Eri |043622.4-023905. |RR        | 14.8    |  15.8      |p |
CK    Tau |043645.0+085424. |RR        | 14.5    |  15.5      |p |
BP    Eri |043800.4-084516. |RR        | 13.3    |  14.8      |p |
AK    Dor |043839.9-590150. |RR        | 16.98   |  17.70     |B |
SZ    Men |044030.1-732618. |RR        | 13.5    |  14.5      |p |
BG    Eri |044039.8-091124. |RR        | 13.5    |  14.5      |p |
TT    Men |044142.7-745728. |RR        | 15.     |  15.5      |p |
NSV 01709 |044510.9+053239. |RR        | 14.9    |  15.7      |p |
V0421 Per |044534.9+433422. |RR        | 14.2    |  15.5      |p |
VY    Dor |044813.3-534805. |RR        | 12.     |  12.5      |p |
TV    Men |044837.0-761033. |RR        | 13.5    |  14.       |p |
FV    Ori |045043.5+034735. |RR        | 15.5    |  16.3      |p |
GO    Ori |045631.5+053533. |RR        | 14.2    |  15.4      |p |
SY    Dor |050349.5-690414. |RR        | 13.0    |  13.8      |p |
V2834 Ori |050536.2-020318. |RR(B)     | 15.99   |  16.49     |CV|
V0606 Cam |052139.1+622019. |RR        | 14.04   |  14.72     |R |
V1881 Ori |053118.1-001949. |RR        | 17.6    |  17.9      |V |
V     Men |053437.0-753948. |RR        | 13.4    |  14.6      |p |
V0743 Ori |053458.4+142527. |RR        | 15.     |  16.       |p |
NSV 02584 |054317.6+502718. |RR        | 13.4    |  14.8      |p |
EX    Tau |054419.6+132754. |RR        | 14.8    |  15.6      |p |
UU    Dor |054507.4-695214. |RR        | 14.2    |  14.8      |p |
V0413 Cam |055246.5+725116. |RR        | 12.8    |  13.1      |* |
UX    Dor |055305.6-692902. |RR        | 15.0    |  15.7      |p |
V2853 Ori |060623.1+080349. |RR(B)     | 10.95   |  11.5      |V |
ST    Pic |061401.2-612824. |RR        |  9.29   |   9.77     |V |F5V
HS    Gem |061523.6+234954. |RR        | 15.5    |  16.5      |p |
V0670 Ori |061748.4+194314. |RR        | 16.     |  17.       |p |
RW    Men |062241.8-714043. |RR        | 14.8    |  16.0      |p |
ER    Gem |063821.7+215704. |RR        | 14.8    |  16.3      |p |
EN    CMa |064054.0-192346. |RR        | 15.     |  16.       |p |
EW    Gem |064449.9+241810. |RR        | 13.7    |  14.7      |p |
KS    Gem |064524.5+243232. |RR        | 15.     |  16.       |p |
NSV 03225 |065055.0+424416. |RR        | 13.5    |  15.4      |p |
NSV 03274 |065438.7-132707. |RR        | 15.     |  15.5      |p |
NSV 03302 |065758.1+212705. |RR        | 13.4    |  14.0      |p |
V0680 Mon |065930.7+091900. |RR        |  9.6    |  10.1      |p |
V0610 Cam |070144.5+635303. |RR(B)     | 15.98   |  16.57     |CV|
EZ    Mon |070525.4-051037. |RR        | 12.9    |  13.4      |p |
NSV 03446 |071113.2-144018. |RR        | 15.0    |  16.0      |p |
AW    CMi |071247.8+083309. |RR        | 16.0    |< 16.5      |p |
IV    Gem |071739.9+305437. |RR        | 12.2    |  13.1      |p |
NSV 03546 |072107.5-115831.*|RR        | 14.4    |  15.7      |p |
V0861 Aur |072507.5+390341. |RR(B)     | 18.1    |  18.8      |CV|
NQ    Mon |072511.8-091711. |RR        | 13.8    |  15.2      |p |
V0506 Gem |074109.3+191930. |RR(B)     | 17.30   |  17.93     |CV|
AS    CMi |074410.3+081715. |RR        | 14.5    |  16.       |p |
LV    Lyn |074454.8+442909. |RR(B)     | 17.8    |  18.8      |CV|
KZ    Pup |075236.5-172301. |RR        | 11.3    |  12.8      |p |
LW    Lyn |075412.9+373442. |RR(B)     | 17.51   |  18.48     |CV|
V0517 Gem |075701.5+303633. |RR(B)     | 17.10   |  17.94     |CV|
V0743 Pup |075842.2-253601. |RR(B)     | 11.8    |  12.3      |V |
NN    Cnc |080122.2+212111. |RR(B)     | 17.45   |  18.07     |CV|
HY    Pup |080213.6-233542. |RR        | 15.5    |  17.       |p |
V0520 Gem |080446.1+320142. |RR(B)     | 17.06   |  17.71     |CV|
BZ    Cha |080632.0-761136. |RR        | 13.4    |  14.2      |p |
EI    Vel |080712.1-450357. |RR        | 13.8    |< 14.8      |p |
MM    Lyn |080846.9+335403. |RR(B)     | 17.38   |  18.34     |CV|
NP    Cnc |080935.3+120901. |RR(B)     | 16.55   |  17.33     |CV|
V0732 Pup |081132.1-282118. |RR(B)     | 12.2    |  12.8      |V |
NU    Cnc |081429.9+311115. |RR(B)     | 16.86   |  17.60     |CV|
AL    Vol |081609.4-664448. |RR(B)     | 12.30   |  13.25     |V |
NW    Cnc |081652.4+092757. |RR(B)     | 16.47   |  17.29     |CV|
KL    Pup |082423.3-232110. |RR        | 15.     |  15.5      |p |
OO    Cnc |082426.3+184229. |RR(B)     | 16.51   |  17.38     |CV|
RU    Vol |083251.6-692713. |RR        | 15.     |  16.5      |p |
RV    Vol |083252.6-700424. |RR        | 12.5    |  13.5      |p |
RT    Vol |083304.8-672913. |RR        | 15.     |  16.5      |p |
V0621 Hya |083657.8-045253. |RR(B)     | 16.65   |  17.37     |CV|
V0623 Hya |083939.3-050500. |RR(B)     | 14.76   |  15.37     |CV|
V0624 Hya |084025.7+050106. |RR(B)     | 16.62   |  17.25     |CV|
RZ    Vol |084304.0-660714. |RR        | 14.     |  15.       |p |
PR    Cnc |084529.4+241631. |RR(B)     | 17.55   |  18.47     |CV|
V0500 Hya |084746.9-033900. |RR(B)     | 10.5    |  11.1      |V |
ST    Vol |084759.4-663348. |RR        | 15.     |  16.       |p |
SU    Vol |084818.2-692631. |RR        | 15.     |  16.       |p |
MR    Lyn |084826.2+362008. |RR(B)     | 15.78   |  16.39     |CV|
PS    Cnc |084838.3+095115. |RR(B)     | 16.73   |  17.48     |CV|
SW    Vol |085010.5-662312. |RR        | 13.     |  13.5      |p |
MR    Cnc |085147.2+072354. |RR(B)     | 16.06   |  16.64     |CV|
PU    Cnc |085213.3+093217. |RR(B)     | 18.1    |  19.0      |CV|
CD    Cha |085312.8-760037. |RR        | 14.1    |  14.8      |p |
DT    UMa |085344.9+491840. |RR        | 14.3    |  15.8      |p |
MT    Lyn |085643.1+432021. |RR(B)     | 17.51   |  18.47     |CV|
MV    Lyn |085809.5+363121. |RR(B)     | 16.61   |  17.44     |CV|
NSV 18102 |090014.7+491806. |RR        | 14.4    |  15.0      |p |
TW    Vol |090046.0-683536. |RR        | 16.     |  17.       |p |
TV    Vol |090050.9-672920. |RR        | 15.     |  16.5      |p |
V0635 Hya |090052.2+045608. |RR(B)     | 17.77   |  18.58     |CV|
QQ    Cnc |090222.3+183340. |RR(B)     | 18.3    |  19.2      |CV|
LO    Car |090901.6-660845. |RR        | 14.5    |  15.5      |p |
CY    Hya |091020.9+052051. |RR        | 13.     |  14.5      |p |
LU    Car |091333.1-701632. |RR        | 14.5    |  15.5      |p |
LV    Car |091509.2-660847. |RR        | 15.     |  16.       |p |
QU    Cnc |091637.7+071125. |RR(B)     | 16.55   |  17.30     |CV|
LY    Car |091806.3-733204. |RR        | 15.5    |  16.5      |p |
LX    Car |091822.5-675518. |RR        | 16.     |  17.       |p |
SY    Pyx |092328.0-292516. |RR        | 14.0    |  15.6      |p |
YY    Hya |092620.6-222339. |RR        | 13.5    |  14.7      |p |
MO    Car |092658.3-703040. |RR        | 14.     |  15.       |p |
YZ    Hya |092730.2-214557. |RR        | 14.3    |  16.0      |p |
LR    Leo |092730.7+110738. |RR(B)     | 15.70   |  16.40     |CV|
MP    Car |092829.3-672608. |RR        | 14.     |  15.       |p |
MQ    Car |092853.8-700416. |RR        | 14.5    |  15.       |p |
MR    Car |092924.2-695235. |RR        | 16.     |  17.       |p |
AA    Hya |092945.5-215132. |RR        | 13.8    |  15.6      |p |
MS    Car |093027.6-662030. |RR        | 16.     |  17.       |p |
MT    Car |093052.7-680640. |RR        | 16.     |  17.       |p |
MU    Car |093129.6-680733. |RR        | 14.     |  15.5      |p |
VX    Ant |093246.9-292308. |RR        | 14.4    |  15.8      |p |
NSV 04530 |093320.1-220438. |RR        | 13.7    |  14.5      |p |
AF    Ant |093400.2-291524. |RR        | 13.8    |  14.7      |p |
RW    Ant |093603.9-285554. |RR        | 13.9    |  15.0      |p |
MY    Car |093722.4-680841. |RR        | 15.     |  16.5      |p |
MX    Car |093739.2-663427. |RR        | 15.     |  16.5      |p |
V0448 UMa |093804.0+413345. |RR(B)     | 16.30   |  17.07     |CV|
AC    Hya |093806.0-223041. |RR        | 14.0    |  15.5      |p |
NSV 04567 |093924.6-253820. |RR        | 14.5    |  15.3      |p |
NSV 04585 |094111.0-291339. |RR        | 12.7    |  13.4      |p |
NS    Car |094206.1-685019. |RR        | 15.     |  16.       |p |
PS    Leo |094311.0+160954. |RR(B)     | 16.70   |  17.49     |CV|
VY    Ant |094506.3-264537. |RR        | 14.9    |  16.1      |p |
NX    Car |094746.6-682044. |RR        | 15.     |  16.       |p |
AR    LMi |095042.0+330817. |RR(B)     | 18.1    |  18.9      |CV|
NSV 04660 |095216.8-241207. |RR        | 14.8    |  15.8      |p |
OP    Car |095452.9-723821. |RR        | 16.     |  17.       |p |
PW    Leo |095544.9+182308. |RR(B)     | 16.54   |  17.37     |CV|
V     Sex |095607.8+045107. |RR        | 12.1    |  13.6      |p |
PX    Leo |095725.9+320118. |RR(B)     | 17.51   |  18.31     |CV|
OU    Car |095904.1-721918. |RR        | 15.5    |  16.5      |p |
V0462 UMa |095938.1+435246. |RR(B)     | 16.29   |  17.11     |CV|
V0464 UMa |100259.6+452815. |RR(B)     | 17.21   |  17.99     |CV|
OX    Car |100439.1-701005. |RR        | 15.     |  16.       |p |
AV    LMi |100525.3+314917. |RR(B)     | 17.70   |  18.56     |CV|
PY    Leo |100644.1+215659. |RR(B)     | 17.5    |  18.4      |V |
RT    Cha |101031.7-803616. |RR        | 14.     |  15.       |p |
OZ    Car |101038.0-725623. |RR        | 14.     |  14.5      |p |
PZ    Leo |101400.3+093924. |RR(B)     | 18.38   |  18.96     |CV|
AX    LMi |102040.3+283702. |RR(B)     | 18.2    |  19.0      |CV|
V0470 UMa |102211.4+452004. |RR(B)     | 17.16   |  17.97     |CV|
CW    Sex |102308.5+002330. |RR(B)     | 18.4    |  19.3      |CV|
QQ    Leo |102347.6+155912. |RR(B)     | 17.3    |  18.1      |CV|
V0471 UMa |102457.5+424022. |RR(B)     | 17.02   |  17.73     |CV|
AZ    LMi |102506.2+303609. |RR(B)     | 16.87   |  17.51     |CV|
QR    Leo |102643.7+094923. |RR(B)     | 17.92   |  18.52     |CV|
V0659 Hya |102916.6-123652. |RR(B)     | 17.31   |  17.94     |CV|
BY    Sex |103008.3+033608. |RR(B)     | 15.12   |  15.70     |CV|
V0664 Hya |103222.9-121945. |RR(B)     | 16.70   |  17.43     |CV|
QS    Leo |103406.7+071208. |RR(B)     | 17.40   |  18.25     |CV|
QU    Leo |103559.3+193835. |RR(B)     | 17.03   |  17.95     |CV|
CX    Sex |104207.9-022957. |RR(B)     | 17.11   |  17.91     |CV|
QV    Leo |104306.2+090341. |RR(B)     | 13.39   |  14.07     |CV|
CY    Sex |104418.7-031851. |RR(B)     | 16.79   |  17.68     |CV|
BB    LMi |104711.4+253302. |RR(B)     | 18.3    |  19.1      |CV|
V0473 UMa |105418.8+434038. |RR(B)     | 15.26   |  15.77     |CV|
QY    Leo |105731.4+045704. |RR(B)     | 13.39   |  14.05     |CV|
V0379 UMa |105743.6+384648. |RR(B)     | 13.6    |  14.4      |* |A7
V0380 UMa |105957.1+375020. |RR(B)     | 15.5    |  16.5      |* |
V0335 Leo |110351.8+173610. |RR(B)     | 17.58   |  18.49     |CV|
AH    Leo |110505.3+232108. |RR        | 13.7    |  14.7      |p |
V0389 UMa |111021.8+354650. |RR(B)     | 15.2    |  16.1      |V |
V0475 UMa |111109.1+321559. |RR(B)     | 17.54   |  18.31     |CV|
BI    Hya |111148.2-322254. |RR        | 11.3    |  12.2      |p |
AX    Crt |111436.6-161046. |RR(B)     | 15.86   |  16.65     |CV|
V0338 Leo |111645.0+235928. |RR(B)     | 17.50   |  18.44     |CV|
VZ    UMa |111728.3+294030. |RR        | 13.7    |  15.0      |p |
V0340 Leo |111922.5+171324. |RR(B)     | 16.87   |  17.60     |CV|
NV    Leo |112105.1+033056. |RR(B)     | 16.64   |  17.45     |CV|
EV    Hya |112155.9-321704. |RR        | 13.1    |  14.4      |p |
AQ    Leo |112355.3+101858. |RR(B)     | 12.37   |  13.15     |B |A1
AY    Crt |112521.2-111610. |RR(B)     | 13.32   |  13.98     |CV|
V0343 Leo |112845.5-021601. |RR(B)     | 17.2    |  18.1      |CV|
V0344 Leo |113022.6+085443. |RR(B)     | 17.56   |  18.33     |CV|
V1221 Cen |113104.5-410703. |RR        | 11.6    |  12.4      |CV|
V0345 Leo |113328.0+225921. |RR(B)     | 16.81   |  17.62     |CV|
RZ    Crt |113349.4-132526. |RR        | 15.5    |  16.7      |p |
V0477 UMa |113351.9+445740. |RR(B)     | 16.13   |  16.84     |CV|
BV    UMa |113709.7+561441. |RR        | 16.7    |  17.4      |p |
V0479 UMa |113835.5+315736. |RR(B)     | 16.56   |  17.30     |CV|
BW    UMa |113918.2+540118. |RR        | 16.5    |  17.5      |p |
BX    UMa |113929.4+551000. |RR        | 16.7    |  17.5      |p |
V0546 Dra |114114.4+754222. |RR(B)     | 16.3    |(  0.9   * )|R |
ST    Crt |114156.5-134709. |RR        | 14.7    |  15.8      |p |
V0350 Leo |114517.7+173116. |RR(B)     | 16.91   |  17.64     |CV|
V0351 Leo |114631.4+135159. |RR(B)     | 17.39   |  18.33     |CV|
DO    Hya |114905.1-335014. |RR        | 12.6    |  13.3      |p |
DP    Hya |114934.5-340539. |RR        | 12.8    |  13.6      |p |
DQ    Hya |114956.3-353852. |RR        | 12.8    |  13.8      |p |
CY    Mus |115039.9-670548. |RR        | 15.     |  16.       |p |
AD    Cha |115206.0-794624. |RR        | 15.3    |  16.3      |p |
DR    Hya |115212.2-351936. |RR        | 13.2    |  14.0      |p |
DS    Hya |115351.3-352647. |RR        | 14.1    |  15.3      |p |
DT    Hya |115400.2-311540. |RR        | 11.7    |  12.6      |p |
DW    Hya |115629.7-334125. |RR        | 14.1    |  15.1      |p |
EF    UMa |115719.3+482904. |RR        | 16.4    |  17.7      |p |
BY    UMa |115822.1+550942. |RR        | 15.7    |  17.0      |p |
QU    Com |115942.5+151530. |RR(B)     | 17.7    |  18.5      |CV|
NSV 05413 |120008.6-733039. |RR        | 16.     |  16.5      |p |
DY    Hya |120046.0-335114. |RR        | 13.9    |  15.0      |p |
EF    Hya |120227.6-352646. |RR        | 14.7    |  15.8      |p |
IK    Hya |120447.3-274043. |RR        |  9.96   |  10.42     |V |A2:
AI    Cha |120503.0-793230. |RR        | 16.     |  17.       |p |
EI    Hya |120536.1-323813. |RR        | 13.7    |  14.4      |p |
QW    Com |120812.2+232143. |RR(B)     | 17.64   |  18.55     |CV|
BY    Com |120817.7+152543. |RR        | 15.     |  16.       |p |
SV    Com |120847.9+184056. |RR        | 16.8    |  17.6      |p |
EK    Hya |120848.9-300420. |RR        | 12.0    |  12.9      |p |
SX    Com |120937.7+180851. |RR        | 16.3    |  17.6      |p |
DD    Vir |120959.8+131637. |RR        | 15.5    |  16.5      |p |
SZ    Com |121119.9+184948. |RR        | 16.0    |  17.0      |p |
V0674 Vir |121250.6-113909. |RR(B)     | 16.80   |  17.55     |CV|
V0675 Vir |121308.2+111659. |RR(B)     | 17.8    |  18.6      |CV|
HK    CVn |121357.2+452857. |RR(B)     | 16.53   |  17.15     |CV|
DD    Mus |121439.8-683236. |RR        | 13.5    |  14.5      |p |
DE    Mus |121459.1-684521. |RR        | 15.     |  16.       |p |
TT    Com |121549.0+183221. |RR        | 16.0    |  16.7      |p |
DE    Vir |121559.3+090738. |RR        | 15.5    |  16.5      |p |
HI    Com |121640.4+244844. |RR        | 16.4    |  17.4      |p |
HL    CVn |121700.5+363316. |RR(B)     | 16.93   |  17.68     |CV|
HM    CVn |121713.2+454704. |RR(B)     | 17.48   |  18.27     |CV|
QX    Com |121803.4+283833. |RR(B)     | 14.98   |  15.65     |CV|
HM    Com |121910.9+250917. |RR        | 16.4    |  17.4      |p |
AG    Crv |122207.9-120316. |RR(B)     | 15.43   |  15.96     |CV|
CI    Mus |122208.6-740627. |RR        | 12.4    |  13.8      |p |
QY    Com |122448.8+221137. |RR(B)     | 17.8    |  18.5      |CV|
XX    Crv |122509.5-213952. |RR(B)     | 11.93   |  12.74     |V |
EI    Vir |122529.0+011421. |RR        | 15.25   |  16.02     |CV|
NSV 05615 |122605.5+264438. |RR        |  9.3    |   9.8      |V |
HR    Com |122618.4+245220. |RR        | 16.4    |< 17.5      |p |
BM    Hya |122624.9-280346. |RR        | 14.3    |  15.0      |p |
AH    Crv |122726.3-130028. |RR(B)     | 15.19   |  15.75     |CV|
HT    Com |122736.8+241358. |RR        | 16.4    |  17.5      |p |
XY    Crv |122801.2-232827. |RR(B)     | 12.8    |  13.6      |V |
NSV 05632 |122802.2+075619. |RR        |  9.8    |  10.6      |p |
BO    Hya |122821.7-331948. |RR        | 14.8    |  16.0      |p |
HU    Com |122918.4+250247. |RR        | 16.7    |  17.5      |p |
EN    Vir |122928.9+013803. |RR        | 16.5    |  17.5      |p |
BP    Hya |122942.3-322219. |RR        | 15.0    |  15.8      |p |
TZ    Com |123009.9+135355. |RR        | 16.5    |  17.5      |p |
V0679 Vir |123211.1+125557. |RR(B)     | 17.8    |  18.6      |CV|
HW    Com |123316.7+280507. |RR        | 16.5    |  17.5      |p |
BT    Hya |123335.1-324736. |RR        | 14.5    |  15.5      |p |
BN    Vir |123413.9+025717. |RR        | 14.2    |  15.0      |p |
EM    Hya |123540.0-263942. |RR        | 13.0    |  13.7      |p |
BR    Vir |123730.5+022003. |RR        | 14.4    |  15.2      |p |
NSV 05796 |123747.6+481522. |RR        | 11.5    |  12.3      |p |
V0680 Vir |123815.6+103531. |RR(B)     | 17.34   |  18.31     |CV|
V0681 Vir |123818.7+090440. |RR(B)     | 17.9    |  18.8      |CV|
EN    Hya |123903.3-265517. |RR        | 14.8    |  16.0      |p |
BZ    Hya |123921.0-322122. |RR        | 14.5    |  16.0      |p |
CC    Hya |123950.6-330358. |RR        | 14.7    |  15.7      |p |
CD    Hya |124010.0-311731. |RR        | 15.3    |  16.3      |V |
